Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ota,Chrome 88.0.4324.182,,,2021-02-23 10:04:16,2021-02-23 10:05:34,1m - 18.139s,FAILED
,,,,,,,
Test Cases/Login before use a service/09_Normal OTA (login before),Chrome 88.0.4324.182,,,2021-02-23 10:04:19,2021-02-23 10:05:27,1m - 8.194s,FAILED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-23 10:04:20,2021-02-23 10:04:24,4.886s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:24,2021-02-23 10:04:27,3.012s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-23 10:04:27,2021-02-23 10:04:28,0.194s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/img_TH_avatar_Not-Login""))",Chrome 88.0.4324.182,,,2021-02-23 10:04:28,2021-02-23 10:04:30,2.090s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_ Facebook_Login""))",Chrome 88.0.4324.182,,,2021-02-23 10:04:30,2021-02-23 10:04:31,0.745s,PASSED
"switchToWindowTitle(""Facebook"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:31,2021-02-23 10:04:32,1.952s,PASSED
"setText(findTestObject(""Used/Page-Facebook/input__email""), ""qmkecjunto_1612852822@tfbnw.net"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:32,2021-02-23 10:04:33,0.881s,PASSED
"setEncryptedText(findTestObject(""Used/Page-Facebook/input__pass""), ""gOP7IdE590r7JITAEPMRJQ=="")",Chrome 88.0.4324.182,,,2021-02-23 10:04:33,2021-02-23 10:04:34,0.994s,PASSED
"click(findTestObject(""Used/Page-Facebook/label__loginbutton""))",Chrome 88.0.4324.182,,,2021-02-23 10:04:34,2021-02-23 10:04:35,0.581s,PASSED
delay(7),Chrome 88.0.4324.182,รอให้หน้าเพจโหลดก่อน,,2021-02-23 10:04:35,2021-02-23 10:04:42,7.058s,PASSED
"switchToWindowTitle(""Bluuu - จ้างแม่บ้าน ผู้เชี่ยวชาญเรื่องบ้านที่คุณไว้วางใจได้มากที่สุด"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:42,2021-02-23 10:04:42,0.058s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/a_OneTimeService""))",Chrome 88.0.4324.182,จอง one time,,2021-02-23 10:04:42,2021-02-23 10:04:43,0.475s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/svg_NextMonth""))",Chrome 88.0.4324.182,เลื่อนเดือน,,2021-02-23 10:04:43,2021-02-23 10:04:44,1.560s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/span_M3D22""))",Chrome 88.0.4324.182,วันที่ 22 เดือน 3,,2021-02-23 10:04:44,2021-02-23 10:04:45,1.172s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/div_StartTime""))",Chrome 88.0.4324.182,เวลาเริ่มงาน,,2021-02-23 10:04:45,2021-02-23 10:04:46,0.501s,PASSED
