Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
package,Chrome 88.0.4324.182,,,2021-02-23 10:04:17,2021-02-23 10:04:42,24.844s,FAILED
,,,,,,,
Test Cases/Login before use a service/13_Normal MP,Chrome 88.0.4324.182,,,2021-02-23 10:04:19,2021-02-23 10:04:42,22.435s,FAILED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-23 10:04:21,2021-02-23 10:04:25,3.654s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-23 10:04:25,2021-02-23 10:04:25,0.166s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:25,2021-02-23 10:04:34,8.706s,PASSED
"click(findTestObject(""Object Repository/Temp/Page_Bluuu -/img_TH_avatar order-3 order-xl-4 ml-4 mt-1""))",Chrome 88.0.4324.182,,,2021-02-23 10:04:34,2021-02-23 10:04:35,0.990s,PASSED
"click(findTestObject(""Object Repository/Temp/Page_Bluuu -/button_ Facebook""))",Chrome 88.0.4324.182,,,2021-02-23 10:04:35,2021-02-23 10:04:35,0.791s,PASSED
"switchToWindowTitle(""Facebook"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:35,2021-02-23 10:04:37,1.521s,PASSED
"setText(findTestObject(""Object Repository/Temp/Page_Facebook/input__email""), ""qmkecjunto_1612852822@tfbnw.net"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:37,2021-02-23 10:04:38,0.840s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Temp/Page_Facebook/input__pass""), ""gOP7IdE590r7JITAEPMRJQ=="")",Chrome 88.0.4324.182,,,2021-02-23 10:04:38,2021-02-23 10:04:38,0.568s,PASSED
"click(findTestObject(""Object Repository/Temp/Page_Facebook/label__loginbutton""))",Chrome 88.0.4324.182,,,2021-02-23 10:04:38,2021-02-23 10:04:39,0.381s,PASSED
"switchToWindowTitle(""Bluuu - จ้างแม่บ้าน ผู้เชี่ยวชาญเรื่องบ้านที่คุณไว้วางใจได้มากที่สุด"")",Chrome 88.0.4324.182,,,2021-02-23 10:04:39,2021-02-23 10:04:39,0.055s,PASSED
"click(findTestObject(""Object Repository/Temp/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,เข้าไปจองแบบ package,,2021-02-23 10:04:39,2021-02-23 10:04:42,3.144s,FAILED
