Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Package,Chrome 88.0.4324.182,,,2021-02-24 13:29:07,2021-02-24 13:33:51,4m - 43.603s,PASSED
,,,,,,,
Test Cases/Login before use a service/13_Normal MP,Chrome 88.0.4324.182,,,2021-02-24 13:29:10,2021-02-24 13:31:38,2m - 28.082s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 13:29:11,2021-02-24 13:29:15,4.054s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 13:29:15,2021-02-24 13:29:15,0.179s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 13:29:15,2021-02-24 13:29:18,3.062s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/img_TH_avatar_Not-Login""))",Chrome 88.0.4324.182,,,2021-02-24 13:29:18,2021-02-24 13:29:20,1.178s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_ Facebook_Login""))",Chrome 88.0.4324.182,,,2021-02-24 13:29:20,2021-02-24 13:29:20,0.811s,PASSED
"switchToWindowTitle(""Facebook"")",Chrome 88.0.4324.182,,,2021-02-24 13:29:20,2021-02-24 13:29:22,1.814s,PASSED
"setText(findTestObject(""Used/Page-Facebook/input__email""), ""qmkecjunto_1612852822@tfbnw.net"")",Chrome 88.0.4324.182,,,2021-02-24 13:29:22,2021-02-24 13:29:23,1.045s,PASSED
"setEncryptedText(findTestObject(""Used/Page-Facebook/input__pass""), ""gOP7IdE590r7JITAEPMRJQ=="")",Chrome 88.0.4324.182,,,2021-02-24 13:29:23,2021-02-24 13:29:24,0.550s,PASSED
"click(findTestObject(""Used/Page-Facebook/label__loginbutton""))",Chrome 88.0.4324.182,,,2021-02-24 13:29:24,2021-02-24 13:29:24,0.553s,PASSED
delay(7),Chrome 88.0.4324.182,,,2021-02-24 13:29:24,2021-02-24 13:29:31,7.048s,PASSED
"switchToWindowTitle(""Bluuu - จ้างแม่บ้าน ผู้เชี่ยวชาญเรื่องบ้านที่คุณไว้วางใจได้มากที่สุด"")",Chrome 88.0.4324.182,,,2021-02-24 13:29:31,2021-02-24 13:29:31,0.030s,PASSED
"click(findTestObject(""Used/Package-and-Date/a_Package""))",Chrome 88.0.4324.182,เข้าไปจองแบบ package,,2021-02-24 13:29:31,2021-02-24 13:29:32,0.399s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/div_RoomType""))",Chrome 88.0.4324.182,รูปแบบของสถานที่ทำงาน,,2021-02-24 13:29:32,2021-02-24 13:29:36,4.150s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/li_Condo4Bedroom""))",Chrome 88.0.4324.182,คอนโด 4 ห้องนอนขึ้นไป,,2021-02-24 13:29:36,2021-02-24 13:29:39,3.340s,PASSED
"setText(findTestObject(""Used/zElement-Bluuu/input_Location""), ""House of "")",Chrome 88.0.4324.182,,,2021-02-24 13:29:39,2021-02-24 13:29:46,6.637s,PASSED
delay(7),Chrome 88.0.4324.182,,,2021-02-24 13:29:46,2021-02-24 13:29:53,7.004s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_House of RAMS  53""))",Chrome 88.0.4324.182,,,2021-02-24 13:29:53,2021-02-24 13:29:53,0.443s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Clean-Type""))",Chrome 88.0.4324.182,บริการที่ต้องการ,,2021-02-24 13:29:53,2021-02-24 13:29:57,3.045s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_Cleaning""))",Chrome 88.0.4324.182,เลือกทำความสะอาด,,2021-02-24 13:29:57,2021-02-24 13:30:00,3.048s,PASSED
"click(findTestObject(""Used/Package-and-Date/label_IgotDog""))",Chrome 88.0.4324.182,ฉันมีหมา,,2021-02-24 13:30:00,2021-02-24 13:30:03,2.985s,PASSED
"click(findTestObject(""Used/Package-and-Date/button_MP-Go-for-Maid""))",Chrome 88.0.4324.182,เลือกแม่บ้าน,,2021-02-24 13:30:03,2021-02-24 13:30:03,0.508s,PASSED
"click(findTestObject(""Used/Package-and-Date/img_MP-PMark-Avatar""))",Chrome 88.0.4324.182,p'Mark avatar,,2021-02-24 13:30:03,2021-02-24 13:30:05,1.852s,PASSED
"click(findTestObject(""Object Repository/By Case/18/Page_Bluuu/img__mr-2""))",Chrome 88.0.4324.182,,,2021-02-24 13:30:05,2021-02-24 13:30:08,3.394s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Duration""))",Chrome 88.0.4324.182,จำนวนชั่วโมง,,2021-02-24 13:30:08,2021-02-24 13:30:12,3.243s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_2 hours""))",Chrome 88.0.4324.182,2 hrs,,2021-02-24 13:30:12,2021-02-24 13:30:15,3.068s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_How-many-Time""))",Chrome 88.0.4324.182,จำนวนครั้ง,,2021-02-24 13:30:15,2021-02-24 13:30:18,3.150s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_4Times""))",Chrome 88.0.4324.182,4 times,,2021-02-24 13:30:18,2021-02-24 13:30:21,3.026s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Repeated-Day""))",Chrome 88.0.4324.182,วันที่ต้องการจ้างซ้ำ,,2021-02-24 13:30:21,2021-02-24 13:30:24,3.084s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_Tuesday""))",Chrome 88.0.4324.182,วันอังคาร,,2021-02-24 13:30:24,2021-02-24 13:30:27,3.185s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Each-Time""))",Chrome 88.0.4324.182,เวลาในแต่ละครั้ง,,2021-02-24 13:30:27,2021-02-24 13:30:30,3.167s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_1900 - 2100""))",Chrome 88.0.4324.182,,,2021-02-24 13:30:30,2021-02-24 13:30:34,3.853s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/span_I Accept""))",Chrome 88.0.4324.182,ฉันยอมรับ,,2021-02-24 13:30:34,2021-02-24 13:30:37,3.057s,PASSED
"click(findTestObject(""Used/Package-and-Date/button_Booknow""))",Chrome 88.0.4324.182,ไปหน้า Booking Summary,,2021-02-24 13:30:37,2021-02-24 13:30:38,0.591s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_ConfirmBookNow""))",Chrome 88.0.4324.182,,,2021-02-24 13:30:38,2021-02-24 13:30:39,1.280s,PASSED
"click(findTestObject(""Used/Page-Payment/a_ClckPromptPay""))",Chrome 88.0.4324.182,Promptpay click,,2021-02-24 13:30:39,2021-02-24 13:30:42,3.239s,PASSED
"setText(findTestObject(""Used/Page-Payment/input_TxtPromptPayName""), ""test"")",Chrome 88.0.4324.182,ใส่ชื่อนามสกุล,,2021-02-24 13:30:42,2021-02-24 13:30:43,0.750s,PASSED
"click(findTestObject(""Used/Page-Payment/input_BtnPromptPaySubmit""))",Chrome 88.0.4324.182,,,2021-02-24 13:30:43,2021-02-24 13:30:43,0.451s,PASSED
"waitForElementClickable(findTestObject(""Used/zElement-Bluuu/button_MyPayment""), 360)",Chrome 88.0.4324.182,,,2021-02-24 13:30:43,2021-02-24 13:31:30,46.629s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_MyPayment""))",Chrome 88.0.4324.182,button click หลังจากนี้คงรอแหละ,,2021-02-24 13:31:30,2021-02-24 13:31:31,0.517s,PASSED
"td_getdura = getText(findTestObject(""Object Repository/Temp/Page_Bluuu/td_getdura""))",Chrome 88.0.4324.182,,,2021-02-24 13:31:31,2021-02-24 13:31:34,3.194s,PASSED
"getmaid = getText(findTestObject(""Object Repository/Temp/Page_Bluuu/span_getmaid""))",Chrome 88.0.4324.182,,,2021-02-24 13:31:34,2021-02-24 13:31:37,3.149s,PASSED
"if (td_getdura == ""แพ็กเกจ: 2 ชม. x 4 ครั้ง"")",Chrome 88.0.4324.182,,,2021-02-24 13:31:37,2021-02-24 13:31:37,0.001s,PASSED
"if (getmaid == ""Mark 〽️ Phoom"")",Chrome 88.0.4324.182,,,2021-02-24 13:31:37,2021-02-24 13:31:37,0.001s,PASSED
if (a + b == 2),Chrome 88.0.4324.182,,,2021-02-24 13:31:37,2021-02-24 13:31:38,0.797s,PASSED
,,,,,,,
Test Cases/Login before use a service/14_MP with Promotion,Chrome 88.0.4324.182,,,2021-02-24 13:31:38,2021-02-24 13:33:51,2m - 13.340s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 13:31:39,2021-02-24 13:31:40,1.184s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 13:31:40,2021-02-24 13:31:40,0.150s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 13:31:40,2021-02-24 13:31:43,2.822s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/img_TH_avatar_Not-Login""))",Chrome 88.0.4324.182,,,2021-02-24 13:31:43,2021-02-24 13:31:44,1.057s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_ Facebook_Login""))",Chrome 88.0.4324.182,,,2021-02-24 13:31:44,2021-02-24 13:31:44,0.580s,PASSED
"switchToWindowTitle(""Facebook"")",Chrome 88.0.4324.182,,,2021-02-24 13:31:44,2021-02-24 13:31:47,2.241s,PASSED
"setText(findTestObject(""Used/Page-Facebook/input__email""), ""qmkecjunto_1612852822@tfbnw.net"")",Chrome 88.0.4324.182,,,2021-02-24 13:31:47,2021-02-24 13:31:47,0.699s,PASSED
"setEncryptedText(findTestObject(""Used/Page-Facebook/input__pass""), ""gOP7IdE590r7JITAEPMRJQ=="")",Chrome 88.0.4324.182,,,2021-02-24 13:31:47,2021-02-24 13:31:48,0.624s,PASSED
"click(findTestObject(""Used/Page-Facebook/label__loginbutton""))",Chrome 88.0.4324.182,,,2021-02-24 13:31:48,2021-02-24 13:31:48,0.385s,PASSED
delay(7),Chrome 88.0.4324.182,,,2021-02-24 13:31:48,2021-02-24 13:31:55,7.004s,PASSED
"switchToWindowTitle(""Bluuu - จ้างแม่บ้าน ผู้เชี่ยวชาญเรื่องบ้านที่คุณไว้วางใจได้มากที่สุด"")",Chrome 88.0.4324.182,,,2021-02-24 13:31:55,2021-02-24 13:31:55,0.025s,PASSED
"click(findTestObject(""Used/Package-and-Date/a_Package""))",Chrome 88.0.4324.182,เข้าไปจองแบบ package,,2021-02-24 13:31:55,2021-02-24 13:31:56,0.384s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/div_RoomType""))",Chrome 88.0.4324.182,รูปแบบของสถานที่ทำงาน,,2021-02-24 13:31:56,2021-02-24 13:31:59,3.400s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/li_Condo4Bedroom""))",Chrome 88.0.4324.182,คอนโด 4 ห้องนอนขึ้นไป,,2021-02-24 13:31:59,2021-02-24 13:32:02,3.171s,PASSED
"setText(findTestObject(""Used/Package-and-Date/input_Location""), ""House of "")",Chrome 88.0.4324.182,,,2021-02-24 13:32:02,2021-02-24 13:32:09,6.619s,PASSED
delay(7),Chrome 88.0.4324.182,,,2021-02-24 13:32:09,2021-02-24 13:32:16,7.004s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_House of RAMS  53""))",Chrome 88.0.4324.182,,,2021-02-24 13:32:16,2021-02-24 13:32:16,0.483s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Clean-Type""))",Chrome 88.0.4324.182,บริการที่ต้องการ,,2021-02-24 13:32:16,2021-02-24 13:32:19,3.051s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_Cleaning""))",Chrome 88.0.4324.182,เลือกทำความสะอาด,,2021-02-24 13:32:19,2021-02-24 13:32:23,3.119s,PASSED
"click(findTestObject(""Used/Package-and-Date/label_IgotDog""))",Chrome 88.0.4324.182,ฉันมีหมา,,2021-02-24 13:32:23,2021-02-24 13:32:26,3.030s,PASSED
"click(findTestObject(""Used/Package-and-Date/button_MP-Go-for-Maid""))",Chrome 88.0.4324.182,เลือกแม่บ้าน,,2021-02-24 13:32:26,2021-02-24 13:32:26,0.406s,PASSED
"click(findTestObject(""Used/Package-and-Date/img_MP-PMark-Avatar""))",Chrome 88.0.4324.182,p'Mark avatar,,2021-02-24 13:32:26,2021-02-24 13:32:28,1.843s,PASSED
delay(5),Chrome 88.0.4324.182,,,2021-02-24 13:32:28,2021-02-24 13:32:33,5.003s,PASSED
"click(findTestObject(""Object Repository/By Case/18/Page_Bluuu/img__mr-2""))",Chrome 88.0.4324.182,,,2021-02-24 13:32:33,2021-02-24 13:32:33,0.450s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Duration""))",Chrome 88.0.4324.182,จำนวนชั่วโมง,,2021-02-24 13:32:33,2021-02-24 13:32:36,3.209s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_2 hours""))",Chrome 88.0.4324.182,2 hrs,,2021-02-24 13:32:36,2021-02-24 13:32:40,3.103s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_How-many-Time""))",Chrome 88.0.4324.182,จำนวนครั้ง,,2021-02-24 13:32:40,2021-02-24 13:32:43,3.070s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_4Times""))",Chrome 88.0.4324.182,4 times,,2021-02-24 13:32:43,2021-02-24 13:32:46,3.058s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Repeated-Day""))",Chrome 88.0.4324.182,วันที่ต้องการจ้างซ้ำ,,2021-02-24 13:32:46,2021-02-24 13:32:49,3.122s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_Tuesday""))",Chrome 88.0.4324.182,วันอังคาร,,2021-02-24 13:32:49,2021-02-24 13:32:52,3.057s,PASSED
"click(findTestObject(""Used/Package-and-Date/div_Each-Time""))",Chrome 88.0.4324.182,เวลาในแต่ละครั้ง,,2021-02-24 13:32:52,2021-02-24 13:32:55,3.095s,PASSED
"click(findTestObject(""Used/Package-and-Date/li_0600 - 0800""))",Chrome 88.0.4324.182,,,2021-02-24 13:32:55,2021-02-24 13:32:58,3.078s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/span_I Accept""))",Chrome 88.0.4324.182,ฉันยอมรับ,,2021-02-24 13:32:58,2021-02-24 13:33:01,2.919s,PASSED
"click(findTestObject(""Used/Package-and-Date/button_Booknow""))",Chrome 88.0.4324.182,ไปหน้า Booking Summary,,2021-02-24 13:33:01,2021-02-24 13:33:02,0.579s,PASSED
"setText(findTestObject(""Used/zElement-Bluuu/input_Promotion-Code""), ""WELCOME30"")",Chrome 88.0.4324.182,ใส่รหัสโปรโมชัน,,2021-02-24 13:33:02,2021-02-24 13:33:08,6.525s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_Use-Promotion-Code""))",Chrome 88.0.4324.182,ใช้งานคูปอง,,2021-02-24 13:33:08,2021-02-24 13:33:08,0.350s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_Confirming-From-Promotion""))",Chrome 88.0.4324.182,,,2021-02-24 13:33:08,2021-02-24 13:33:09,0.467s,PASSED
"click(findTestObject(""Used/Page-Payment/a_ClckPromptPay""))",Chrome 88.0.4324.182,Promptpay click,,2021-02-24 13:33:09,2021-02-24 13:33:12,2.751s,PASSED
"setText(findTestObject(""Used/Page-Payment/input_TxtPromptPayName""), ""test"")",Chrome 88.0.4324.182,ใส่ชื่อนามสกุล,,2021-02-24 13:33:12,2021-02-24 13:33:12,0.793s,PASSED
"click(findTestObject(""Used/Page-Payment/input_BtnPromptPaySubmit""))",Chrome 88.0.4324.182,,,2021-02-24 13:33:12,2021-02-24 13:33:13,0.399s,PASSED
"waitForElementClickable(findTestObject(""Used/zElement-Bluuu/button_MyPayment""), 360)",Chrome 88.0.4324.182,,,2021-02-24 13:33:13,2021-02-24 13:33:43,30.221s,PASSED
