Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OTM,Chrome 88.0.4324.182,,,2021-02-24 13:53:40,2021-02-24 13:58:10,4m - 30.355s,FAILED
,,,,,,,
Test Cases/Login before use a service/11_Normal OTM (login before),Chrome 88.0.4324.182,,,2021-02-24 13:53:42,2021-02-24 13:54:46,1m - 4.776s,FAILED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 13:53:42,2021-02-24 13:53:45,2.321s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 13:53:45,2021-02-24 13:53:47,2.659s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 13:53:47,2021-02-24 13:53:48,0.164s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/img_TH_avatar_Not-Login""))",Chrome 88.0.4324.182,,,2021-02-24 13:53:48,2021-02-24 13:53:48,0.981s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/button_ Facebook_Login""))",Chrome 88.0.4324.182,,,2021-02-24 13:53:48,2021-02-24 13:53:49,0.603s,PASSED
"switchToWindowTitle(""Facebook"")",Chrome 88.0.4324.182,,,2021-02-24 13:53:49,2021-02-24 13:53:51,1.545s,PASSED
"setText(findTestObject(""Used/Page-Facebook/input__email""), ""qmkecjunto_1612852822@tfbnw.net"")",Chrome 88.0.4324.182,,,2021-02-24 13:53:51,2021-02-24 13:53:51,0.822s,PASSED
"setEncryptedText(findTestObject(""Used/Page-Facebook/input__pass""), ""gOP7IdE590r7JITAEPMRJQ=="")",Chrome 88.0.4324.182,,,2021-02-24 13:53:51,2021-02-24 13:53:52,0.637s,PASSED
"click(findTestObject(""Used/Page-Facebook/label__loginbutton""))",Chrome 88.0.4324.182,,,2021-02-24 13:53:52,2021-02-24 13:53:52,0.379s,PASSED
delay(7),Chrome 88.0.4324.182,รอให้หน้าเพจโหลดก่อน,,2021-02-24 13:53:52,2021-02-24 13:54:00,7.038s,PASSED
"switchToWindowTitle(""Bluuu - จ้างแม่บ้าน ผู้เชี่ยวชาญเรื่องบ้านที่คุณไว้วางใจได้มากที่สุด"")",Chrome 88.0.4324.182,,,2021-02-24 13:54:00,2021-02-24 13:54:00,0.029s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/a_OneTimeService""))",Chrome 88.0.4324.182,จอง one time,,2021-02-24 13:54:00,2021-02-24 13:54:00,0.423s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/div_RoomType""))",Chrome 88.0.4324.182,place,,2021-02-24 13:54:00,2021-02-24 13:54:04,3.711s,PASSED
"click(findTestObject(""Used/zElement-Bluuu/li_Condo2Bedroom""))",Chrome 88.0.4324.182,condo 2 bedroom,,2021-02-24 13:54:04,2021-02-24 13:54:07,3.045s,PASSED
