Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Special Cases,Chrome 88.0.4324.182,,,2021-02-24 14:09:56,2021-02-24 14:14:44,4m - 47.586s,PASSED
,,,,,,,
Test Cases/Special Case/19_Text500,Chrome 88.0.4324.182,,,2021-02-24 14:09:58,2021-02-24 14:10:24,25.741s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 14:09:59,2021-02-24 14:10:01,2.240s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 14:10:01,2021-02-24 14:10:03,2.248s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 14:10:03,2021-02-24 14:10:03,0.147s,PASSED
"click(findTestObject(""Object Repository/P_USE/19/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,,,2021-02-24 14:10:03,2021-02-24 14:10:04,1.032s,PASSED
"setText(findTestObject(""Object Repository/P_USE/19/Page_Bluuu/textarea____BVID__200""), ""assadasdasdasdqkdq[wkdlsdaldladlklkqkpaskdpqk[dkaksd[aksdlasd[k[dasldaksdpqkd[qkw[pkksadklskdpakdpaskdassadasdasdasdqkdq[wkdlsdaldladlklkqkpaskdpqk[dkaksd[aksdlasd[k[dasldaksdpqkd[qkw[pkksadklskdpakdpaskdassadasdasdasdqkdq[wkdlsdaldladlklkqkpaskdpqk[dkaksd[aksdlasd[k[dasldaksdpqkd[qkw[pkksadklskdpakdpaskdassadasdasdasdqkdq[wkdlsdaldladlklkqkpaskdpqk[dkaksd[aksdlasd[k[dasldaksdpqkd[qkw[pkksadklskdpakdpaskdassadasdasdasdqkdq[wkdlsdaldladlklkqkpaskdpqk[dkaksd[aksdlasd[k[dasldaksdpqkd[qkw[pkksadklsassadasdasdasdqkdq[wkdlsdaldladlklkqkpaskdpqk[dkaksd[aksdlasd[k[dasldaksdpqkd[qkw[pkksadklskdpakdpaskd"")",Chrome 88.0.4324.182,,,2021-02-24 14:10:04,2021-02-24 14:10:20,15.438s,PASSED
"text500 = getText(findTestObject(""Object Repository/P_USE/19/Page_Bluuu/p_ 500""))",Chrome 88.0.4324.182,,,2021-02-24 14:10:20,2021-02-24 14:10:23,3.156s,PASSED
"if (text500 == ""คุณสามารถกรอกข้อมูลเพิ่มเติมได้ทั้งหมด 500 ตัวอักษร"")",Chrome 88.0.4324.182,,,2021-02-24 14:10:23,2021-02-24 14:10:24,0.689s,PASSED
